County,"Agriculture, Forestry and Mining",Mining and Quarrying,Manufacturing,Electricity supply,Water supply; waste collection,Construction,Wholesale and Retail trade; repair of motor vehicles,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real Estate activities,Professional and technical services,Administrative support services,Public administration and defence,Education,Human health and social work activities,Other service activities,Financial services indirectly measured,GCP
NAIROBI,4384,787,284533,25252,17581,221930,358902,331518,21738,116037,467772,433768,37977,25739,43081,35968,32096,52370,148927,2362505
NAKURU,90626,620,29839,51386,3144,20417,46132,54880,7328,7678,13311,24874,8323,5057,15876,18857,7438,11209,5430,411565
NANDI,78053,618,11328,436,594,1251,3353,7977,1023,1764,1117,5761,1931,917,9157,7463,3052,2752,655,144118
NAROK ,69931,222,7489,333,741,1267,5499,12711,1003,4583,1396,8169,1497,1009,12746,8309,4890,3093,770,144118
NYAMIRA,48406,1435,6588,297,472,3169,3935,9814,1067,1091,575,4118,1101,780,8217,5240,3674,1279,412,100846
NYANDARUA,79231,739,1972,268,387,550,1858,6423,1222,1064,1017,4318,2041,1021,7139,5336,1995,2088,439,118231
NYERI,57711,2338,13176,1027,1717,1655,17307,20984,1779,4631,6135,10905,3673,2466,9462,8180,4801,3670,1577,170042
SAMBURU,4128,49,1167,61,195,787,1982,1510,1229,314,469,2079,305,489,6303,1394,1258,580,121,24177
SIAYA,31387,1185,2971,444,654,5217,1122,8600,387,2182,590,5672,2598,940,8299,9815,2454,4131,342,88306
TAITA TAVETA,12202,758,2393,214,571,2465,10350,4994,983,1230,865,4211,1122,815,6903,2710,557,1687,388,54640
TANA RIVER,6918,59,598,71,153,138,1235,2175,33,721,274,1736,330,308,5873,1370,1032,671,128,23567
THARAKA NITHI,17380,178,2805,106,333,3977,1383,4718,1069,1346,598,2232,1242,676,5879,5292,2134,1305,247,52405
TRANS NZOIA,59918,284,5480,358,833,3127,14443,19372,1746,4330,2319,7961,2092,1038,7320,8280,2768,3877,1218,144331
TURKANA,28544,131,1994,44,493,3846,5108,17050,293,806,672,6402,545,660,15902,5532,1266,1573,203,90657
UASIN GISHU,51392,743,10933,1390,1950,8677,19173,31149,3475,2366,11659,18571,5263,2416,9368,17225,9271,6386,6650,204757
VIHIGA,25109,1738,1369,283,470,4798,2930,4948,33,753,618,5802,1353,847,7571,6308,2144,1949,379,68644
WAJIR,14980,469,1105,53,363,3679,916,2833,38,316,389,1462,215,220,10746,2045,2103,815,91,42654
WEST POKOT,20270,2956,850,4235,334,515,2295,9917,316,664,241,1682,341,339,7149,5253,1575,839,155,59617
