County,"Agriculture, Forestry and Mining",Mining and Quarrying,Manufacturing,Electricity supply,Water supply; waste collection,Construction,Wholesale and Retail trade; repair of motor vehicles,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real Estate activities,Professional and technical services,Administrative support services,Public administration and defence,Education,Human health and social work activities,Other service activities,Financial services indirectly measured,GCP
NAROK ,82963,251,7638,365,734,1751,5855,14832,783,5334,1401,9218,1425,960,16190,9313,5477,2950,777,166662
NYAMIRA,61363,1626,5914,324,488,4366,4939,11492,832,1270,619,4648,1048,742,9130,5235,3937,1213,395,118792
NYANDARUA,107174,837,2180,299,398,762,1974,7528,953,1238,1181,4873,1943,972,9697,5055,1432,2000,435,150062
NYERI,87175,2648,12367,1175,1645,2288,19980,24235,1388,5390,6571,12309,3497,2347,11708,8312,5384,3537,1564,210393
SAMBURU,6181,56,1295,65,180,1083,2159,1772,959,366,325,2349,291,466,8098,1553,1584,548,119,29211
SIAYA,41699,1342,3296,488,747,7188,1191,10072,302,2540,685,6400,2474,895,9882,10087,3346,3973,348,106259
TAITA TAVETA,15881,859,2631,239,565,3397,12459,5762,767,1430,870,4752,1068,775,7493,2653,719,1626,383,63564
TANA RIVER,10428,67,678,78,154,191,1312,2551,26,839,247,1959,314,293,7113,1517,1592,636,129,29866
THARAKA NITHI,21182,215,2960,117,328,5476,1468,5580,834,1566,653,2518,1183,643,7718,5686,2805,1251,229,61957
TRANS NZOIA,70525,322,5784,398,813,4310,15466,22560,1363,5039,2463,8988,1992,988,9785,8592,3188,3726,1179,165121
TURKANA,39179,105,2248,48,343,5298,5425,19208,228,938,932,7222,519,628,19823,4050,1642,1481,217,109101
UASIN GISHU,57744,842,11555,1526,1929,11949,21471,34736,2711,2751,12303,20983,5010,2299,12006,18568,11065,6164,6768,228846
VIHIGA,37317,1969,1438,313,490,6611,3111,5826,26,877,655,6547,1288,806,7793,6234,2625,1868,386,85407
WAJIR,17602,531,1225,58,397,5065,973,2834,30,368,353,1650,204,209,12895,2172,2593,750,94,49816
WEST POKOT,35728,3348,945,4339,330,711,2655,11507,246,773,248,1897,325,322,8938,5288,2308,782,145,80546
