County,"Agriculture, Forestry and Mining",Mining and Quarrying,Manufacturing,Electricity supply,Water supply; waste collection,Construction,Wholesale and Retail trade; repair of motor vehicles,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real Estate activities,Professional and technical services,Administrative support services,Public administration and defence,Education,Human health and social work activities,Other service activities,Financial services indirectly measured,GCP
BARINGO,30349,148,4527,126,412,2043,2315,10192,139,2332,1072,3212,1504,995,7788,4871,3593,1403,387,76636
BOMET,85639,733,12056,403,836,12223,1261,10501,626,1082,846,3667,1803,913,8712,7237,2438,2234,464,152744
BUNGOMA,91795,355,8162,760,1357,6294,10327,24093,1349,4031,2381,9979,3142,1641,16869,16571,4623,4286,1310,206705
BUSIA,33107,348,3189,223,683,8927,2597,8884,107,1107,1097,4341,1513,766,11128,7610,2877,2840,527,90817
ELGEYO MARAKWET,80615,573,2467,144,290,1200,2009,9465,137,1394,293,3119,660,452,6962,3938,2694,739,102,117047
EMBU,43429,268,3577,21699,1130,13543,9523,26153,1001,2299,2370,7186,1916,1072,8284,5236,3485,2440,655,153927
GARISSA,18633,654,1304,483,1121,2402,5300,2013,352,830,852,3911,236,381,13954,2807,3939,1029,292,59910
HOMA BAY,54076,504,4774,197,708,2765,4840,13161,791,1838,941,5371,2443,1109,11051,10254,4156,3731,512,122198
ISIOLO,4480,47,472,261,234,3043,2692,1350,318,640,421,1675,400,479,7054,944,1471,791,214,26558
KAJIADO,21845,3283,7696,1911,831,14966,8430,14117,2618,6027,4195,28508,4696,2792,12676,5214,5367,7308,2099,150413
KAKAMEGA,85951,1703,13861,654,1607,3897,13922,17010,1452,6211,2751,14954,3742,2117,16795,20015,2607,5104,1283,214068
KERICHO,78414,173,13228,1201,865,5372,11274,12402,1269,2732,3117,7721,2256,1218,8986,9191,3769,2826,1300,164714
KIAMBU,91492,4857,67672,10163,4283,95312,31217,59408,3482,13582,15855,56136,16992,9415,21710,26393,11984,19853,6495,553312
KILIFI,45424,3938,35927,1070,1995,2461,10834,28389,2529,6207,3085,19453,3596,1893,15550,11293,5706,6054,1231,204172
KIRINYAGA,62063,1683,5888,618,578,770,7356,12780,3101,2805,1851,8106,2663,1126,8692,4620,3274,3036,747,130263
KISII,89171,485,6024,540,1080,7469,10572,29808,1420,1451,3852,9543,3039,1772,15086,11124,5296,3259,1659,199333
KISUMU,41501,1932,28647,6851,1916,18942,18623,37956,2878,4593,10741,31269,4756,2683,15377,12518,6715,6025,4484,249440
KITUI,49987,761,4220,105,1044,3625,6102,19046,1091,3019,1545,7326,2230,1298,14822,11754,5285,3835,715,136380
KWALE,42219,10253,6699,435,601,5094,1790,10117,2741,2252,1155,9788,1583,835,12759,5309,3593,2900,457,119666
LAIKIPIA,27469,136,2535,417,1246,9450,9752,12522,1285,2346,2180,6267,1552,1274,9191,4484,1186,2217,701,94810
LAMU,9825,149,1280,98,124,171,2445,7186,179,735,349,2040,358,246,4754,906,1460,690,136,32857
MACHAKOS,53194,11389,65819,3071,1375,27711,29874,26072,2443,7963,4720,30278,6297,3276,17571,11636,4868,7788,1786,313559
MAKUENI,32741,753,5165,216,698,5179,10022,13058,1126,2256,1150,5646,2587,1315,12442,9014,4120,4153,570,111071
MANDERA,21970,210,1087,430,673,4121,1350,1710,79,747,569,3351,191,273,15204,2868,3290,868,67,58925
MARSABIT,17448,85,629,10168,173,12731,1555,1969,109,769,636,2109,297,337,7906,1631,2164,881,164,61434
MERU,198075,3716,16508,1773,1018,7641,9629,31652,545,3987,6366,19382,4374,2089,15639,11783,7069,6090,2020,345319
MIGORI,49324,7114,3519,378,650,1383,4298,12506,908,2105,999,5003,2093,926,10803,12867,3417,3372,558,121106
MOMBASA,3788,1354,76080,8758,1529,64217,56412,104314,7411,13823,39582,54206,6831,4672,14239,6569,8047,10854,15294,467395
MURANGA,102424,2632,8729,2179,1138,12611,5513,14380,1633,3429,2368,11200,3845,1898,10872,8946,3657,4157,931,200682
NAIROBI,4697,892,300886,27086,17172,305519,419135,339477,16964,128409,534239,409400,36156,24494,51462,38338,31542,50852,147873,2669829
NAKURU,126923,702,33620,47790,3254,28112,53956,63054,5719,8933,14596,28087,7923,4813,18893,19327,9322,10813,5299,480539
NANDI,87093,700,9950,473,600,1727,3561,9421,799,2053,1104,6505,1839,872,10572,7327,4142,2633,619,150753
