"County","Agriculture_Forestry_and_Mining","Mining_and_Quarrying","Manufacturing","Electricity_supply","Water_supply_waste_collection","Construction","Wholesale_and_Retail_trade_repair_of_motor_vehicles","Transport_and_storage","Accommodation_and_food_service_activities","Information_and_communication","Financial_and_insurance_activities","Real_Estate_activities","Professional_and_technical_services","Administrative_support_services","Public_administration_and_defence","Education","Human_health_and_social_work_activities","Other_service_activities","Financial_services_indirectly_measured","GCP","Year"
"SAMBURU",4128,49,1167,61,195,787,1982,1510,1229,314,469,2079,305,489,6303,1394,1258,580,121,24177,"2018"
"SIAYA",31387,1185,2971,444,654,5217,1122,8600,387,2182,590,5672,2598,940,8299,9815,2454,4131,342,88306,"2018"
"TAITA TAVETA",12202,758,2393,214,571,2465,10350,4994,983,1230,865,4211,1122,815,6903,2710,557,1687,388,54640,"2018"
"TANA RIVER",6918,59,598,71,153,138,1235,2175,33,721,274,1736,330,308,5873,1370,1032,671,128,23567,"2018"
"THARAKA NITHI",17380,178,2805,106,333,3977,1383,4718,1069,1346,598,2232,1242,676,5879,5292,2134,1305,247,52405,"2018"
"TRANS NZOIA",59918,284,5480,358,833,3127,14443,19372,1746,4330,2319,7961,2092,1038,7320,8280,2768,3877,1218,144331,"2018"
"TURKANA",28544,131,1994,44,493,3846,5108,17050,293,806,672,6402,545,660,15902,5532,1266,1573,203,90657,"2018"
"UASIN GISHU",51392,743,10933,1390,1950,8677,19173,31149,3475,2366,11659,18571,5263,2416,9368,17225,9271,6386,6650,204757,"2018"
"VIHIGA",25109,1738,1369,283,470,4798,2930,4948,33,753,618,5802,1353,847,7571,6308,2144,1949,379,68644,"2018"
"WAJIR",14980,469,1105,53,363,3679,916,2833,38,316,389,1462,215,220,10746,2045,2103,815,91,42654,"2018"
"WEST POKOT",20270,2956,850,4235,334,515,2295,9917,316,664,241,1682,341,339,7149,5253,1575,839,155,59617,"2018"
"BARINGO",24600,136,4267,120,407,1668,2271,9966,213,2169,911,3028,1697,1168,9143,5155,3452,1586,411,71544,"2019"
"BOMET",74205,671,9891,393,625,10011,1241,10281,958,1006,817,3495,2034,1071,8967,7684,2326,2509,492,137691,"2019"
"BUNGOMA",81093,321,7522,644,1400,5135,10061,23566,2064,3753,2234,9412,3545,1925,16244,17481,3891,4812,1390,193711,"2019"
"BUSIA",29026,319,2678,211,611,7303,2556,8717,164,1030,1012,4080,1707,898,10073,7959,2320,3169,553,83280,"2019"
"ELGEYO MARAKWET",69676,525,2335,136,277,975,1977,9250,210,1297,231,2941,744,530,6442,4177,2383,844,106,104844,"2019"
"EMBU",36671,246,3112,16750,1120,11081,9323,25527,1532,2138,2270,6786,2162,1258,8116,5569,3201,2709,705,138867,"2019"
"GARISSA",15734,591,1246,457,941,1964,5192,1995,538,773,826,3700,266,447,12679,2970,3748,1193,320,54939,"2019"
"HOMA BAY",47748,461,5041,187,701,2254,4764,12967,1210,1713,889,5065,2756,1302,9940,10798,3654,4160,554,115057,"2019"
"ISIOLO",4165,43,443,251,249,2491,2650,1326,486,596,414,1579,451,562,6228,994,1536,884,230,25117,"2019"
"KAJIADO",19320,2976,7554,1972,862,12257,8297,13818,4007,5606,4312,26958,5297,3276,10689,5491,4641,8052,2186,141199,"2019"
"KAKAMEGA",78441,1560,13988,622,1670,3161,13631,16669,2222,5777,2535,14106,4221,2484,15127,21121,2205,5719,1355,203904,"2019"
"KERICHO",68270,158,10957,1593,819,4387,10960,12136,1943,2541,2949,7296,2545,1429,9411,9650,3626,3155,1406,152420,"2019"
"KIAMBU",85221,4447,68672,10354,4493,78023,30629,58105,5330,12647,14637,52959,19169,11048,21025,29709,10973,21821,6763,532498,"2019"
"KILIFI",39734,3606,37483,1080,2095,1984,10566,28340,3870,5773,2877,18343,4056,2221,15232,11894,4650,6717,1291,199179,"2019"
"KIRINYAGA",56160,1541,5296,587,576,618,7240,12496,4746,2621,1722,7681,3004,1321,7206,4908,3380,3358,785,123676,"2019"
"KISII",77633,444,5478,515,1076,6101,10286,29133,2174,1349,3774,9009,3428,2080,13735,12017,4916,3658,1764,185041,"2019"
"KISUMU",38614,1769,27391,5120,1990,15498,18126,39298,4405,4272,10232,29825,5366,3148,13416,13221,4980,6658,4766,238564,"2019"
"KITUI",42139,687,3975,101,995,2955,6005,18629,1669,2809,1471,6914,2515,1524,14116,12344,5213,4274,767,127567,"2019"
"KWALE",34614,9888,6162,413,590,4159,1762,10185,4196,2094,913,9262,1785,979,10737,5578,2594,3232,486,108658,"2019"
"LAIKIPIA",23474,123,2505,396,1198,7732,9461,12296,1967,2182,1849,5923,1750,1495,8716,4779,947,2459,748,88501,"2019"
"LAMU",9517,136,1212,93,138,137,2407,7665,274,683,311,1934,403,288,4396,956,1165,763,143,32338,"2019"
"MACHAKOS",49442,10428,62424,3198,1343,22643,29192,25942,3740,7424,4297,28550,7103,3845,14935,12125,3981,8601,1863,297350,"2019"
"MAKUENI",30228,690,4896,205,714,4212,9764,14172,1724,2099,1211,5322,2918,1543,11852,9603,4222,4606,595,109383,"2019"
"MANDERA",17732,192,1021,405,320,3371,1329,1701,122,696,407,3156,216,321,13008,3025,3087,1020,72,51056,"2019"
"MARSABIT",12799,78,593,12336,172,10426,1530,1939,167,715,589,1981,335,395,7971,1711,2144,999,168,56711,"2019"
"MERU",173601,3402,15387,1706,948,6233,9464,30935,836,3709,5711,18403,4934,2452,14513,12370,6865,6763,2139,316093,"2019"
"MIGORI",43925,6514,3402,386,644,1122,4219,12243,1389,1958,895,4707,2361,1087,9827,13530,3379,3768,586,114770,"2019"
